char_id,gender,race,class,territory,creation_date,class_mastery_date,total_kills,total_deaths
40,M,A,W,8,2017-12-19,2018-08-25,11,8
41,F,E,W,13,2017-07-23,2018-01-17,10,8
42,F,C,T,3,2017-07-10,2018-06-04,12,8
43,N,C,T,17,2017-03-21,2018-10-14,7,10
44,M,D,T,10,2017-01-20,2018-02-19,6,11
45,F,C,A,19,2017-12-09,2018-08-03,7,17
46,F,C,W,8,2017-09-08,2018-10-06,14,14
47,M,A,A,13,2017-12-27,2018-02-04,14,13
48,F,E,W,2,2017-01-18,2018-02-04,11,7
49,M,D,T,6,2017-07-24,2018-11-02,8,13
50,M,A,T,15,2017-07-13,2018-05-01,7,11
51,F,D,C,1,2017-10-11,2018-05-14,11,7
52,N,B,R,16,2017-04-27,2018-02-17,7,10
53,M,B,H,5,2017-08-19,2018-07-16,12,10
54,M,B,A,0,2017-04-26,2018-02-15,10,6
55,N,D,A,10,2017-10-27,2018-07-28,7,9
56,M,C,W,3,2017-11-19,2018-06-01,11,11
57,M,B,W,3,2017-02-15,2018-09-19,12,8
58,M,A,W,0,2017-12-28,2018-10-18,10,8
59,F,D,R,8,2017-10-17,2018-07-22,11,11
60,F,C,W,18,2017-01-26,2018-04-02,9,12
61,M,D,W,4,2017-07-25,2018-04-07,13,6
62,F,A,W,2,2017-11-25,2018-12-09,12,8
63,M,B,A,7,2017-08-06,2018-07-10,10,12
64,M,B,T,11,2017-07-05,2018-08-16,11,9
65,M,A,A,4,2017-05-03,2018-04-27,16,15
66,F,D,W,1,2017-02-01,2018-09-08,15,13
67,F,B,W,15,2017-01-21,2018-06-26,9,10
68,F,E,C,5,2017-01-16,2018-04-22,7,17
69,M,C,A,6,2017-02-28,2018-04-04,10,5
70,F,C,W,1,2017-08-01,2018-08-31,8,8
71,F,C,W,10,2017-09-11,2018-10-04,17,8
72,N,A,A,14,2017-01-09,2018-09-16,12,4
73,F,A,R,8,2017-10-12,2018-11-01,16,11
74,F,C,T,18,2017-08-09,2018-09-24,8,8
75,M,E,H,16,2017-10-01,2018-01-14,12,10
76,F,A,A,1,2017-04-10,2018-03-23,13,11
77,N,A,T,3,2017-07-01,2018-08-27,13,9
78,M,B,A,5,2017-06-07,2018-06-15,8,10
79,M,A,W,11,2017-08-30,2018-10-28,7,9
80,F,A,T,14,2017-12-13,2018-11-30,15,13
81,M,C,A,16,2017-05-08,2018-11-09,7,6
82,F,B,A,6,2017-06-06,2018-07-29,7,7
83,M,C,T,9,2017-08-09,2018-08-16,11,10
84,M,B,W,0,2017-09-19,2018-06-25,14,4
85,F,A,W,1,2017-07-06,2018-09-19,9,10
86,F,D,C,6,2017-12-11,2018-04-16,19,10
87,M,B,W,1,2017-08-03,2018-12-18,13,10
88,F,B,A,1,2017-11-11,2018-09-04,8,15
89,M,B,T,18,2017-11-17,2018-03-15,8,9
90,F,C,R,5,2017-02-22,2018-04-24,10,7
91,F,D,C,4,2017-05-16,2018-04-21,10,16
92,M,C,R,10,2017-10-23,2018-09-03,9,5
93,M,B,T,8,2017-10-23,2018-01-02,10,11
94,M,C,T,3,2017-03-30,2018-09-27,6,10
95,F,A,W,2,2017-08-19,2018-04-08,7,9
96,M,D,R,11,2017-04-12,2018-08-27,9,11
97,F,B,T,1,2017-05-16,2018-09-16,9,10
98,F,B,A,10,2017-09-30,2018-09-24,9,12
99,M,B,A,7,2017-08-04,2018-01-23,4,13
100,F,A,C,7,2017-02-12,2018-08-30,11,12
101,F,B,T,17,2017-07-08,2018-10-21,12,11
102,M,C,W,10,2017-07-07,2018-09-19,11,9
103,F,C,H,18,2017-11-06,2018-04-24,14,7
104,M,C,A,14,2017-09-07,2018-07-22,9,11
105,M,C,W,7,2017-11-09,2018-11-10,11,10
106,M,B,A,3,2017-09-10,2018-11-13,16,9
107,M,D,W,4,2017-08-30,2018-08-07,10,8
108,M,C,R,11,2017-07-01,2018-11-04,8,12
109,M,D,A,7,2017-09-19,2018-11-22,9,10
110,F,B,W,5,2017-12-03,2018-04-20,16,16
111,N,A,T,18,2017-01-30,2018-07-14,9,8
112,F,A,R,18,2017-08-12,2018-09-14,14,9
113,M,C,C,15,2017-12-14,2018-12-20,10,10
114,F,C,R,12,2017-02-13,2018-11-17,14,14
115,F,A,A,7,2017-07-23,2018-02-21,10,12
116,M,B,C,16,2017-06-20,2018-11-20,9,12
117,M,B,W,9,2017-01-17,2018-04-28,13,5
118,M,B,W,9,2017-06-23,2018-10-13,10,8
119,M,B,C,1,2017-07-04,2018-07-18,8,10
120,F,A,C,11,2017-08-04,2018-05-30,10,14
121,F,A,A,17,2017-03-09,2018-04-07,7,14
122,M,D,W,0,2017-04-11,2018-08-22,9,11
123,M,D,T,10,2017-03-26,2018-01-20,7,11
124,F,A,T,7,2017-08-19,2018-02-15,11,12
125,M,A,A,8,2017-09-23,2018-01-12,7,9
126,F,C,A,16,2017-09-06,2018-03-30,9,10
127,M,A,C,1,2017-10-22,2018-08-25,7,11
128,F,B,A,17,2017-05-22,2018-06-09,9,8
129,F,B,C,17,2017-09-05,2018-03-30,10,6
130,M,B,A,11,2017-11-05,2018-06-17,8,15
131,M,B,T,17,2017-03-17,2018-02-08,11,10
132,M,D,C,7,2017-02-07,2018-02-04,11,6
133,F,B,C,11,2017-01-15,2018-07-23,12,9
134,M,B,T,16,2017-09-09,2018-07-19,11,14
135,F,A,C,8,2017-11-06,2018-01-14,14,8
136,F,A,W,16,2017-02-25,2018-03-03,8,13
137,F,C,W,5,2017-10-06,2018-06-05,11,13
138,N,B,T,3,2017-04-20,2018-12-17,13,8
139,F,B,C,14,2017-08-18,2018-08-15,11,12
140,F,B,R,18,2017-10-06,2018-11-08,11,11
141,F,D,R,5,2017-08-17,2018-12-24,11,9
142,M,B,T,6,2017-06-14,2018-10-11,9,14
143,F,D,W,14,2017-08-19,2018-04-24,11,7
144,M,A,W,8,2017-02-21,2018-01-20,7,11
145,M,B,W,1,2017-04-14,2018-06-12,13,13
146,M,A,C,18,2017-01-05,2018-09-18,11,7
147,M,C,T,6,2017-03-03,2018-09-20,15,6
148,N,B,T,10,2017-10-04,2018-06-21,7,8
149,F,C,T,19,2017-03-07,2018-07-02,9,14
150,M,A,W,4,2017-08-02,2018-01-16,7,15
151,F,C,A,13,2017-08-25,2018-04-27,4,11
152,F,A,C,0,2017-05-10,2018-12-21,8,8
153,M,A,A,1,2017-05-11,2018-04-13,13,12
154,M,B,T,17,2017-09-18,2018-09-18,9,9
155,F,C,T,1,2017-03-17,2018-05-01,9,9
156,M,A,T,3,2017-05-01,2018-03-26,11,10
157,F,A,A,9,2017-08-28,2018-04-22,9,10
158,M,C,A,5,2017-11-29,2018-07-02,10,8
159,M,B,W,5,2017-08-17,2018-12-28,13,13
160,M,B,T,9,2017-12-24,2018-11-20,11,10
161,M,E,R,5,2017-11-25,2018-07-22,11,10
162,N,A,W,17,2017-10-07,2018-02-15,9,15
163,N,C,W,19,2017-03-15,2018-05-04,9,11
164,M,B,T,15,2017-10-30,2018-01-16,7,7
165,F,C,T,0,2017-06-07,2018-03-08,11,13
166,M,C,R,16,2017-02-08,2018-11-01,10,13
167,F,E,C,7,2017-06-09,2018-09-22,12,5
168,M,C,C,15,2017-12-03,2018-07-05,9,5
169,M,B,W,5,2017-05-23,2018-06-14,8,9
170,M,A,R,12,2017-12-22,2018-01-01,12,10
171,F,D,T,9,2017-06-11,2018-09-19,7,10
172,F,C,C,18,2017-01-27,2018-04-16,11,7
173,M,D,A,11,2017-02-10,2018-12-21,10,17
174,F,C,A,14,2017-03-26,2018-10-30,10,13
175,F,A,C,2,2017-08-29,2018-07-22,11,11
176,F,B,R,18,2017-12-18,2018-05-18,6,10
177,M,B,T,17,2017-10-07,2018-05-19,16,12
178,F,A,T,11,2017-06-14,2018-12-27,9,9
179,M,B,C,3,2017-03-30,2018-08-03,16,13
180,M,C,A,17,2017-08-13,2018-11-07,7,9
181,M,B,A,18,2017-09-12,2018-06-05,6,7
182,N,C,C,8,2017-05-08,2018-12-29,14,6
183,M,C,W,13,2017-01-15,2018-03-12,11,9
184,M,A,A,19,2017-03-26,2018-07-14,15,6
185,M,C,R,12,2017-01-30,2018-01-06,12,10
186,F,C,C,10,2017-04-24,2018-12-20,15,11
187,N,E,A,8,2017-11-21,2018-05-09,8,6
188,N,C,C,7,2017-04-17,2018-07-20,7,10
189,M,B,H,12,2017-05-25,2018-12-21,15,6
190,F,D,W,10,2017-01-24,2018-07-20,16,8
191,N,A,C,4,2017-03-10,2018-01-16,9,7
192,F,C,C,6,2017-03-14,2018-01-31,10,8
193,F,D,A,7,2017-01-30,2018-09-17,12,17
194,M,B,C,17,2017-05-17,2018-11-28,11,12
195,N,A,T,2,2017-01-05,2018-04-09,5,13
196,F,E,W,11,2017-10-09,2018-05-17,15,5
197,N,B,C,6,2017-05-07,2018-07-25,15,7
198,M,B,T,7,2017-10-04,2018-05-02,8,7
199,N,B,T,11,2017-09-16,2018-09-25,8,9
200,F,A,A,9,2017-01-10,2018-03-28,9,8
201,M,A,C,7,2017-04-03,2018-12-08,17,12
202,F,B,A,0,2017-11-01,2018-01-21,8,11
203,M,B,A,8,2017-08-18,2018-02-19,7,13
204,F,A,C,5,2017-06-08,2018-08-31,12,11
205,F,A,R,4,2017-03-17,2018-09-16,8,12
206,M,D,A,12,2017-01-05,2018-06-03,11,10
207,F,A,W,2,2017-03-06,2018-11-01,12,9
208,M,C,T,5,2017-02-22,2018-05-12,7,10
209,M,C,C,15,2017-05-13,2018-10-16,9,9
210,M,B,W,6,2017-09-18,2018-09-28,7,12
211,M,B,T,5,2017-03-28,2018-08-21,11,6
212,F,C,W,15,2017-06-14,2018-12-31,8,7
213,M,A,T,6,2017-12-26,2018-02-14,9,16
214,F,A,T,4,2017-09-14,2018-03-23,21,9
215,F,B,W,16,2017-03-12,2018-03-16,15,7
216,M,D,T,7,2017-08-14,2018-07-10,9,14
217,M,B,W,7,2017-03-26,2018-10-05,14,16
218,N,D,W,14,2017-02-10,2018-12-21,8,11
219,F,B,H,2,2017-06-03,2018-09-30,9,7
220,N,D,T,13,2017-11-16,2018-11-27,13,9
221,M,B,R,2,2017-06-01,2018-06-30,9,8
222,M,A,C,19,2017-01-11,2018-02-22,10,10
223,F,B,W,2,2017-06-28,2018-08-10,10,10
224,F,B,W,2,2017-01-30,2018-03-04,8,11
225,M,B,A,11,2017-11-01,2018-06-30,9,6
226,M,B,A,4,2017-12-02,2018-02-22,8,13
227,M,C,R,1,2017-06-12,2018-06-11,8,13
228,M,B,A,8,2017-03-28,2018-12-22,7,6
229,F,A,R,14,2017-01-14,2018-02-25,5,9
230,F,D,W,10,2017-10-25,2018-12-11,13,9
231,M,A,R,5,2017-09-28,2018-04-16,8,11
232,F,A,R,9,2017-12-19,2018-09-03,10,9
233,F,B,A,7,2017-01-16,2018-06-09,13,11
234,F,D,T,8,2017-12-12,2018-04-01,5,15
235,M,C,A,10,2017-12-21,2018-11-18,13,7
236,N,B,W,1,2017-01-26,2018-02-11,5,6
237,F,E,A,16,2017-06-06,2018-10-04,7,10
238,M,D,T,0,2017-06-12,2018-03-16,3,16
239,M,B,W,17,2017-04-22,2018-04-11,9,10
240,M,A,T,9,2017-07-09,2018-03-26,14,13
241,F,C,A,15,2017-10-09,2018-07-19,6,6
242,M,B,W,8,2017-09-10,2018-04-09,10,12
243,M,E,W,12,2017-06-23,2018-07-27,10,10
244,N,C,W,1,2017-04-25,2018-11-21,13,16
245,F,B,T,15,2017-11-09,2018-05-18,4,6
246,F,A,A,18,2017-09-24,2018-09-08,7,20
247,M,A,T,3,2017-07-17,2018-03-19,12,8
248,F,C,W,8,2017-10-21,2018-09-11,9,9
249,M,C,C,6,2017-01-20,2018-02-07,6,9
250,F,D,W,7,2017-01-28,2018-08-15,8,14
251,M,D,A,12,2017-06-28,2018-01-11,6,7
252,M,A,T,12,2017-01-16,2018-11-14,9,8
253,N,B,A,3,2017-06-21,2018-07-05,9,16
254,F,B,C,9,2017-12-01,2018-06-15,8,6
255,M,B,C,14,2017-01-08,2018-09-14,11,10
256,F,B,W,6,2017-02-27,2018-09-05,11,8
257,M,A,W,11,2017-03-24,2018-11-19,7,12
258,M,C,A,1,2017-05-12,2018-10-13,9,13
259,F,B,R,17,2017-03-29,2018-01-30,10,10
260,M,A,W,17,2017-11-22,2018-02-03,13,15
261,F,C,W,5,2017-08-14,2018-11-23,9,7
262,N,A,A,6,2017-12-24,2018-11-14,13,11
263,M,D,T,16,2017-07-10,2018-07-08,7,6
264,F,C,R,16,2017-05-14,2018-01-01,10,18
265,F,A,C,7,2017-01-04,2018-05-07,18,13
266,M,C,W,19,2017-03-22,2018-03-22,14,8
267,M,D,W,2,2017-06-27,2018-02-09,6,8
268,F,D,C,16,2017-07-03,2018-08-09,9,17
269,F,C,C,19,2017-02-16,2018-08-23,9,9
270,F,C,R,17,2017-09-17,2018-08-22,7,14
271,M,D,A,17,2017-05-22,2018-05-15,5,15
272,F,C,T,3,2017-03-18,2018-03-02,9,14
273,F,B,A,16,2017-06-29,2018-10-05,10,7
274,F,A,A,14,2017-04-25,2018-01-17,6,12
275,M,A,A,10,2017-03-27,2018-05-18,8,13
276,M,A,T,0,2017-12-29,2018-08-22,8,12
277,M,A,A,7,2017-01-19,2018-04-22,9,10
278,F,D,W,9,2017-11-06,2018-08-28,14,14
279,M,B,A,17,2017-02-05,2018-01-25,9,10
280,F,D,A,16,2017-01-28,2018-05-26,10,12
281,F,C,W,15,2017-09-24,2018-06-01,11,6
282,F,A,W,9,2017-07-21,2018-06-12,5,10
283,M,E,W,8,2017-09-02,2018-10-01,6,16
284,N,B,W,7,2017-02-20,2018-02-04,11,6
285,M,C,T,6,2017-02-18,2018-03-31,6,6
286,M,D,T,17,2017-09-08,2018-09-11,9,20
287,M,A,A,12,2017-10-18,2018-05-24,5,9
288,M,A,A,11,2017-08-03,2018-07-31,8,11
289,F,C,W,4,2017-06-23,2018-06-08,4,7
290,M,B,R,6,2017-09-21,2018-05-02,8,6
291,F,A,C,17,2017-03-31,2018-09-20,9,7
292,F,D,T,8,2017-11-15,2018-04-16,8,6
293,M,C,R,6,2017-04-11,2018-08-06,7,15
294,F,D,C,14,2017-09-16,2018-08-19,8,11
295,F,E,W,3,2017-01-03,2018-05-15,9,11
296,F,C,A,17,2017-04-07,2018-11-13,8,14
297,F,D,T,16,2017-01-05,2018-11-06,13,6
298,M,C,H,8,2017-09-01,2018-06-24,10,3
299,F,C,W,18,2017-03-23,2018-10-18,9,10
300,F,B,A,5,2017-08-21,2018-03-08,7,13
301,F,A,T,10,2017-01-17,2018-05-29,15,17
302,N,C,W,3,2017-06-19,2018-01-26,12,13
303,F,B,T,17,2017-12-16,2018-04-16,11,14
304,F,C,T,7,2017-10-29,2018-07-27,10,3
305,F,A,H,18,2017-06-18,2018-07-10,3,6
306,F,D,W,1,2017-12-23,2018-08-02,11,8
307,M,A,T,4,2017-02-07,2018-05-07,10,10
308,F,E,C,4,2017-09-01,2018-01-15,8,12
309,M,D,W,2,2017-07-13,2018-09-27,9,15
310,F,E,W,0,2017-09-17,2018-07-31,11,5
311,F,D,A,13,2017-11-13,2018-07-01,14,12
312,N,B,T,1,2017-01-06,2018-04-26,10,11
313,M,B,W,10,2017-10-27,2018-02-07,15,7
314,F,B,W,3,2017-08-27,2018-10-27,13,9
315,M,B,W,16,2017-08-24,2018-02-06,15,3
316,M,A,W,12,2017-05-17,2018-11-13,12,12
317,F,B,W,11,2017-09-04,2018-07-24,10,9
318,N,C,A,12,2017-06-27,2018-02-13,7,5
319,N,C,C,19,2017-01-15,2018-05-26,7,10
320,N,C,A,18,2017-10-10,2018-11-26,12,10
321,M,B,T,18,2017-01-14,2018-04-01,11,16
322,F,B,R,18,2017-02-18,2018-06-03,9,7
323,M,A,R,16,2017-03-02,2018-02-15,14,7
324,F,D,A,16,2017-10-28,2018-12-21,11,11
325,M,A,W,13,2017-08-08,2018-11-23,9,6
326,F,C,T,5,2017-04-21,2018-07-28,5,13
327,F,C,W,17,2017-10-05,2018-02-08,12,7
328,M,A,C,11,2017-06-18,2018-01-28,10,13
329,N,D,W,8,2017-09-30,2018-07-16,7,11
330,M,D,W,7,2017-05-23,2018-07-26,14,6
331,N,B,W,9,2017-04-01,2018-10-23,10,13
332,M,D,T,2,2017-10-05,2018-09-07,10,11
333,M,D,T,10,2017-02-15,2018-10-24,9,8
334,M,C,C,13,2017-05-21,2018-09-08,9,7
335,N,A,H,19,2017-08-15,2018-09-01,13,10
336,F,C,R,3,2017-05-24,2018-08-27,11,8
337,F,A,W,12,2017-02-27,2018-08-11,8,7
338,M,B,T,0,2017-08-07,2018-08-30,10,16
339,N,D,A,13,2017-05-27,2018-08-30,9,9
340,N,A,C,10,2017-07-09,2018-02-07,10,7
341,F,B,T,6,2017-10-22,2018-07-31,9,7
342,M,A,A,0,2017-03-01,2018-10-24,8,6
343,M,D,W,6,2017-10-13,2018-03-24,3,8
344,F,A,T,19,2017-05-06,2018-11-09,11,14
345,M,D,T,16,2017-07-21,2018-11-13,5,6
346,F,D,W,1,2017-12-01,2018-08-15,12,13
347,F,B,T,17,2017-07-05,2018-08-01,9,6
348,F,B,T,17,2017-11-27,2018-09-04,10,8
349,N,D,W,12,2017-11-14,2018-04-03,13,12
350,M,A,T,11,2017-08-28,2018-05-07,9,8
351,F,B,A,12,2017-06-12,2018-07-02,9,10
352,M,C,T,11,2017-06-16,2018-11-06,7,10
353,F,E,W,11,2017-06-09,2018-03-08,16,14
354,F,B,T,6,2017-02-13,2018-06-25,11,9
355,N,A,C,5,2017-09-03,2018-08-09,12,9
356,M,C,T,19,2017-02-05,2018-07-16,9,7
357,M,C,W,5,2017-07-14,2018-10-24,10,11
358,F,A,R,5,2017-03-21,2018-08-27,8,9
359,M,A,T,11,2017-03-10,2018-08-11,8,14
360,M,D,T,2,2017-11-12,2018-03-18,9,10
361,M,A,T,10,2017-03-15,2018-10-10,13,12
362,M,C,T,5,2017-06-27,2018-08-15,5,13
363,M,A,W,18,2017-04-23,2018-03-11,4,8
364,F,B,W,12,2017-09-12,2018-07-03,12,10
365,F,B,R,3,2017-09-22,2018-08-17,13,9
366,N,B,A,4,2017-07-24,2018-11-21,9,12
367,M,C,T,5,2017-06-24,2018-04-06,13,8
368,F,D,T,1,2017-11-05,2018-08-09,8,8
369,M,B,T,9,2017-10-13,2018-06-24,17,10
370,F,A,C,11,2017-05-08,2018-07-21,4,9
371,F,C,C,1,2017-01-15,2018-03-23,8,13
372,M,C,W,12,2017-06-01,2018-06-09,11,13
373,M,A,A,4,2017-08-10,2018-03-16,7,12
374,N,B,W,4,2017-03-27,2018-05-30,10,7
375,M,D,W,12,2017-11-17,2018-10-05,10,14
376,F,C,R,10,2017-03-14,2018-08-20,8,8
377,F,C,C,5,2017-02-27,2018-04-10,9,9
378,F,E,T,13,2017-01-02,2018-05-02,10,15
379,M,A,T,10,2017-01-13,2018-03-17,12,16
380,M,B,H,11,2017-07-12,2018-02-24,9,12
381,N,D,T,17,2017-02-18,2018-09-19,10,12
382,F,E,H,16,2017-09-22,2018-02-20,12,15
383,M,A,W,4,2017-10-17,2018-01-09,7,8
384,F,B,W,2,2017-10-11,2018-03-28,7,11
385,F,D,R,8,2017-07-26,2018-10-09,7,10
386,F,E,C,12,2017-09-12,2018-08-18,13,14
387,M,C,A,4,2017-08-03,2018-04-27,9,16
388,F,A,A,10,2017-08-22,2018-11-27,5,9
389,M,D,A,0,2017-10-31,2018-03-19,12,6
390,F,D,H,18,2017-03-20,2018-04-23,8,13
391,N,A,W,1,2017-02-19,2018-04-28,8,9
392,F,A,R,16,2017-05-30,2018-03-17,9,10
393,N,D,T,9,2017-08-25,2018-08-15,8,10
394,F,B,R,6,2017-11-02,2018-11-23,11,11
395,F,B,A,4,2017-06-25,2018-07-10,11,9
396,F,A,A,7,2017-07-12,2018-04-05,7,12
397,N,A,W,9,2017-07-28,2018-07-09,8,9
398,F,E,H,13,2017-09-14,2018-04-23,12,12
399,N,A,T,8,2017-09-19,2018-12-07,8,3
400,M,E,A,11,2017-08-30,2018-11-07,15,6
401,M,A,W,9,2017-07-27,2018-07-13,12,16
402,M,B,A,10,2017-08-20,2018-04-08,10,7
403,M,D,W,19,2017-03-08,2018-01-24,14,9
404,F,B,R,15,2017-01-11,2018-08-07,15,10
405,F,A,H,18,2017-11-10,2018-02-18,12,11
406,F,A,A,3,2017-11-27,2018-01-25,13,18
407,M,C,C,18,2017-12-29,2018-01-18,6,14
408,F,B,R,18,2017-03-23,2018-04-09,10,10
409,M,A,T,7,2017-02-03,2018-01-12,10,8
410,M,C,A,11,2017-01-16,2018-06-25,15,8
411,F,A,A,8,2017-08-23,2018-10-16,11,12
412,F,B,A,0,2017-09-08,2018-01-01,15,9
413,M,B,T,11,2017-01-09,2018-06-21,19,13
414,F,E,W,12,2017-05-30,2018-07-21,9,12
415,M,C,T,1,2017-11-20,2018-04-09,9,7
416,F,D,R,3,2017-01-14,2018-07-04,8,18
417,M,A,W,10,2017-02-05,2018-03-13,10,10
418,F,E,W,15,2017-10-07,2018-08-26,7,10
419,F,D,R,10,2017-03-01,2018-06-20,10,10
420,F,B,A,13,2017-02-02,2018-10-13,18,9
421,M,C,C,15,2017-06-07,2018-01-12,13,6
422,F,B,R,12,2017-05-12,2018-07-21,8,13
423,F,A,C,17,2017-03-17,2018-12-20,7,5
424,F,B,T,11,2017-01-20,2018-09-05,11,10
425,F,A,T,8,2017-10-07,2018-01-26,10,14
426,F,C,T,18,2017-05-31,2018-06-09,11,11
427,F,D,W,16,2017-09-01,2018-11-12,6,5
428,M,C,T,16,2017-04-08,2018-12-22,10,8
429,F,B,T,4,2017-01-15,2018-02-06,14,8
430,F,B,R,14,2017-05-11,2018-09-27,4,4
431,M,A,C,11,2017-11-20,2018-11-14,8,16
432,M,B,A,9,2017-09-06,2018-06-27,12,11
433,F,B,T,0,2017-02-01,2018-02-19,11,15
434,F,A,A,5,2017-12-08,2018-12-26,11,8
435,N,D,T,16,2017-01-16,2018-04-22,14,10
436,F,D,W,15,2017-05-29,2018-11-24,8,4
437,M,D,W,5,2017-07-27,2018-03-22,5,15
438,F,E,W,3,2017-11-19,2018-08-17,7,6
439,F,D,T,8,2017-05-23,2018-02-24,12,13
440,N,B,R,2,2017-07-17,2018-01-07,12,11
441,M,A,T,19,2017-02-03,2018-01-05,5,4
442,F,C,A,3,2017-12-25,2018-04-22,11,8
443,N,D,H,18,2017-06-18,2018-08-18,10,7
444,M,A,W,10,2017-01-21,2018-10-02,15,9
445,F,A,W,4,2017-08-08,2018-04-19,9,17
446,M,C,R,14,2017-02-13,2018-08-29,10,11
447,N,D,R,10,2017-12-24,2018-07-01,16,11
448,M,C,C,8,2017-07-21,2018-09-03,10,14
449,F,C,T,0,2017-05-31,2018-10-16,9,15
450,M,C,T,2,2017-08-07,2018-03-02,20,8
451,F,C,A,11,2017-08-08,2018-08-09,11,12
452,M,C,C,17,2017-02-09,2018-02-14,16,5
453,M,B,T,17,2017-12-23,2018-02-10,7,15
454,F,B,T,16,2017-03-02,2018-05-14,6,8
455,M,A,A,2,2017-09-07,2018-02-02,15,10
456,M,B,W,18,2017-01-24,2018-05-20,13,7
457,F,A,H,4,2017-07-21,2018-07-14,6,8
458,N,B,W,5,2017-05-06,2018-01-10,10,8
459,M,C,C,19,2017-06-03,2018-01-22,11,10
460,M,B,T,12,2017-07-07,2018-09-29,12,5
461,N,C,W,1,2017-08-09,2018-11-25,11,9
462,M,C,A,10,2017-04-11,2018-09-17,11,6
463,M,C,A,3,2017-07-26,2018-12-09,10,11
464,M,B,C,5,2017-08-12,2018-08-28,14,14
465,F,B,T,0,2017-08-13,2018-07-26,11,7
466,M,C,A,13,2017-08-04,2018-08-04,9,9
467,M,C,R,13,2017-07-15,2018-07-18,10,9
468,M,B,W,15,2017-10-29,2018-10-18,19,11
469,F,E,C,16,2017-09-27,2018-07-13,10,12
470,F,B,H,3,2017-05-03,2018-03-05,13,15
471,F,A,A,16,2017-05-12,2018-04-26,9,9
472,M,A,A,15,2017-05-31,2018-06-17,12,11
473,M,B,C,7,2017-10-06,2018-09-18,10,6
474,M,B,C,13,2017-07-09,2018-10-11,7,11
475,F,C,T,4,2017-06-14,2018-11-28,5,9
476,M,B,H,5,2017-10-01,2018-07-06,17,12
477,M,C,A,11,2017-07-05,2018-02-17,14,15
478,M,D,C,8,2017-02-28,2018-07-14,13,13
479,N,B,R,13,2017-05-30,2018-08-28,16,9
480,F,C,A,2,2017-05-12,2018-12-28,10,10
481,F,B,A,6,2017-12-26,2018-08-29,6,14
482,N,C,W,4,2017-07-23,2018-06-14,6,5
483,M,B,C,4,2017-08-31,2018-10-25,9,3
484,N,C,A,4,2017-11-16,2018-01-22,5,12
485,F,C,C,14,2017-11-13,2018-11-16,11,11
486,F,B,W,12,2017-08-12,2018-03-23,15,6
487,N,C,W,19,2017-09-16,2018-07-03,7,4
488,M,D,T,8,2017-06-14,2018-12-18,5,14
489,M,A,H,15,2017-09-11,2018-10-11,7,9
490,M,B,T,12,2017-02-27,2018-05-09,7,10
491,M,C,W,9,2017-05-02,2018-10-16,12,4
492,N,B,T,10,2017-07-13,2018-11-29,11,19
493,M,E,R,19,2017-09-24,2018-07-25,13,10
494,F,A,W,11,2017-05-22,2018-09-02,8,7
495,M,E,C,4,2017-02-01,2018-11-27,14,7
496,M,C,T,5,2017-04-21,2018-09-06,9,12
